Sample,lat/N,long/W,depth/mbsl,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,176Hf/177Hf,143Nd/144Nd,87Sr/86Sr,SetNo,Normed Lat,Normed Lon,newSection,
EN026 19D-1g,77.53,7.67,2925,-0.432463135,-1.383603344,-0.759679477,1.258795935,0.73632812,-0.437892184,1,1,2.031627372,1.00,NorthofGreenland
EN026 31D-1g,76.86,7.37,3450,-0.3046918,-1.088758492,-0.556235275,1.407206132,0.771958732,-0.499464443,1,1.233661865,2.296147211,1.00,NorthofGreenland
EN026 16D-1g,76.56,7.19,2810,-0.508168913,-1.580765557,-0.89015017,1.52980586,0.956050231,-0.690662511,1,1.338286581,2.454859114,1.00,NorthofGreenland
EN026 16D-2g,75.96,7.28,3258,-0.240397821,-0.913185554,-0.38992208,1.445921836,0.831343087,-0.501084766,1,1.547536012,2.375503163,1.00,NorthofGreenland
EN026 27D-1,75.52,7.5,2600,0.259136084,0.141981715,0.367505882,1.078122651,0.089038657,0.469488475,1,1.700985595,2.181521947,1.00,NorthofGreenland
EN026 22D-1g,74.65,8.51,2878,-0.633537187,-1.480337596,-0.925523508,1.516900626,0.914481183,-0.395763797,1,2.004397271,1.290971823,1.00,NorthofGreenland
EN026 25D-2g,74.19,8.84,3210,-0.165437044,-0.533235374,-0.16940987,1.407206132,0.302822333,-0.057116372,1,2.164821835,1,1.00,NorthofGreenland
EN026 21D-1g,73.74,8.37,3290,-0.704580789,-1.548941021,-1.008643477,1.620142502,0.861035264,-0.249934762,1,2.321758908,1.414414414,2.00,in between Greenland and Jan Mayen
EN026 29D-1g,73.41,7.39,2623,-0.996020765,-1.721494673,-1.375053563,1.833078872,1.027311456,-0.497844121,1,2.436846096,2.278512555,2.00,in between Greenland and Jan Mayen
EN026 30D-1g,73.41,7.39,2623,-0.94986724,-1.568344673,-1.31243169,1.871794575,0.676943765,-0.517287992,1,2.436846096,2.278512555,2.00,in between Greenland and Jan Mayen
TR139 32D-1g,73.01,5.18,2900,-0.271480592,-1.064208714,-0.423672679,1.084575269,0.219684237,-0.029570888,1,2.576345716,4.227142036,2.00,in between Greenland and Jan Mayen
EN026 11D-1g,72.81,4.26,2540,-1.047493775,-1.869673284,-1.392680352,1.723384378,0.831343087,-0.258036375,1,2.646095527,5.038336209,2.00,in between Greenland and Jan Mayen
EN026 10D-1g,72.61,3.38,3020,-0.411098831,-1.278008615,-0.615280587,1.426563984,0.409714171,-0.115447986,1,2.715845337,5.81426107,2.00,in between Greenland and Jan Mayen
TR139 30D-1Ag,72.32,1.48,2525,0.154618732,-0.862951199,0.087228823,0.878091516,0.130607705,0.038482662,1,2.816982563,7.489553383,2.00,in between Greenland and Jan Mayen
EN026 1D-1,72.18,0.23,2462,-0.882580961,-1.71559224,-1.141642208,1.581426798,0.552236621,-0.172159277,1,2.86580743,8.591719379,2.00,in between Greenland and Jan Mayen
EN026 7D-1g,71.99,-0.65,2340,-0.102096811,-1.130506676,-0.253472447,1.123290972,0.047469609,0.028760726,1,2.93206975,9.36764424,2.00,in between Greenland and Jan Mayen
END0026-002-001,71.89,-1.39,2900,-0.286003901,-1.404455046,-0.482279649,1.045859565,0.106853964,0.054685888,1,2.966944655,10.02012651,2.00,in between Greenland and Jan Mayen
EN026 2D-1,71.89,-1.39,2900,-0.284661767,-1.392660721,-0.474761245,1.052312182,0.089038657,0.020659113,1,2.966944655,10.02012651,2.00,in between Greenland and Jan Mayen
TR139 27D-6g,71.82,-2.08,2550,0.426083629,-0.762354296,0.367658491,0.400597838,0.053408045,0.064407824,1,2.991357089,10.62852214,2.00,in between Greenland and Jan Mayen
